DecisionOption,AntecedentVariable,AntecedentOperator,AntecedentValue,AntecedentReference,AntecedentValueType
MM25-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM25-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM25-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM26-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM26-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM26-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM27-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM27-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM27-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM28-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM28-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM28-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM29-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM29-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM29-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM30-1_DO1,ManageAreaBiomass,>,0,,Double
