Time,Month,ClimateRegionName,ClimateRegionIndex,NumSites,Precipitation,AirTemp,PET,avgCWD,avgAET,AvgTotalNPP_C,AvgHeteroRespiration,AvgSoilRespiration,avgNEE,Ndep,StreamN,meanSoilWaterContent,SoilWaterContent,AnaerobicEffect,
50, 6, ecoregion2, 2, 37385, 4.5, 24.3, 14, 9.9, 4.2, 2.28, 5.05, 4.29, 2.77, 0.3, 0.01, 0.34, 1.87, 1, 
60, 7, ecoregion2, 2, 37385, 16.9, 26.5, 16.5, 2.6, 13.8, 42.42, 27.95, 30.61, -14.47, 0.42, 0.11, 0.67, 1.88, 1, 
60, 8, ecoregion2, 2, 37385, 10.5, 24.9, 14, 5.4, 8.5, 9.95, 11.04, 10.46, 1.09, 0.35, 0.03, 0.45, 1.88, 1, 
60, 9, ecoregion2, 2, 37385, 8.1, 21.3, 9.7, 3.2, 6.5, 10.77, 9.63, 9.57, -1.14, 0.33, 0.02, 0.39, 1.88, 1, 
60, 10, ecoregion2, 2, 37385, 8.8, 13.8, 4.4, 0, 4.4, 80.11, 51.09, 56.31, -29.03, 0.34, 0.11, 0.58, 3.17, 1, 
60, 11, ecoregion2, 2, 37385, 13.7, 11, 2.7, 0, 2.7, 73.76, 31.25, 37.73, -42.51, 0.39, 0.13, 0.97, 4.32, 0.45, 
60, 12, ecoregion2, 2, 37385, 10, 4.6, 0.6, 0, 0.6, 0.36, 19.37, 11.35, 19.01, 0.35, 0.06, 0.67, 4.29, 0.31, 
60, 1, ecoregion2, 2, 37385, 12.9, 3.2, 0.4, 0, 0.4, 0.13, 17.7, 10.34, 17.57, 0.38, 0.09, 0.8, 4.34, 0.31, 
60, 2, ecoregion2, 2, 37385, 7.9, 7.1, 1.4, 0, 1.4, 1.49, 22.49, 13.49, 21, 0.33, 0.19, 1.1, 4.39, 0.31, 
60, 3, ecoregion2, 2, 37385, 10.9, 11.5, 3.5, 0, 3.5, 9.26, 38.25, 28.23, 28.98, 0.36, 0.2, 0.92, 4.37, 0.7, 
60, 4, ecoregion2, 2, 37385, 8.7, 14.9, 5.7, 0, 5.7, 99.08, 54.93, 64.87, -44.15, 0.34, 0.16, 0.68, 3.54, 1, 
60, 5, ecoregion2, 2, 37385, 13.1, 20.5, 10.6, 0.3, 10.3, 92.16, 53.54, 61.83, -38.62, 0.38, 0.19, 0.73, 2.75, 1, 
60, 6, ecoregion2, 2, 37385, 4.5, 24.3, 14, 9.9, 4.2, 2.32, 5.8, 4.87, 3.47, 0.3, 0.01, 0.34, 1.87, 1, 
70, 7, ecoregion2, 2, 37385, 16.9, 26.5, 16.5, 2.6, 13.8, 44.27, 31.11, 33.47, -13.17, 0.42, 0.12, 0.67, 1.88, 1, 
70, 8, ecoregion2, 2, 37385, 10.5, 24.9, 14, 5.4, 8.6, 10.06, 12.2, 11.37, 2.14, 0.35, 0.03, 0.45, 1.88, 1, 
70, 9, ecoregion2, 2, 37385, 8.1, 21.3, 9.7, 3.2, 6.5, 11.03, 10.66, 10.42, -0.37, 0.33, 0.02, 0.39, 1.88, 1, 
70, 10, ecoregion2, 2, 37385, 8.8, 13.8, 4.4, 0, 4.4, 84.49, 56.72, 61.61, -27.77, 0.34, 0.12, 0.58, 3.17, 1, 
70, 11, ecoregion2, 2, 37385, 13.7, 11, 2.7, 0, 2.7, 78.48, 34.54, 41.02, -43.95, 0.39, 0.15, 0.97, 4.32, 0.45, 
70, 12, ecoregion2, 2, 37385, 10, 4.6, 0.6, 0, 0.6, 0.34, 21.38, 12.53, 21.04, 0.35, 0.06, 0.67, 4.29, 0.31, 
70, 1, ecoregion2, 2, 37385, 12.9, 3.2, 0.4, 0, 0.4, 0.12, 19.54, 11.42, 19.42, 0.38, 0.1, 0.8, 4.34, 0.31, 
70, 2, ecoregion2, 2, 37385, 7.9, 7.1, 1.4, 0, 1.4, 1.46, 24.81, 14.87, 23.36, 0.33, 0.2, 1.1, 4.39, 0.31, 
70, 3, ecoregion2, 2, 37385, 10.9, 11.5, 3.5, 0, 3.5, 9.36, 42.31, 31.11, 32.95, 0.36, 0.22, 0.92, 4.37, 0.7, 
70, 4, ecoregion2, 2, 37385, 8.7, 14.9, 5.7, 0, 5.7, 104.53, 60.9, 70.8, -43.64, 0.34, 0.18, 0.68, 3.54, 1, 
70, 5, ecoregion2, 2, 37385, 13.1, 20.5, 10.6, 0.3, 10.3, 96.78, 59.44, 67.5, -37.35, 0.38, 0.21, 0.73, 2.75, 1, 
70, 6, ecoregion2, 2, 37385, 4.5, 24.3, 14, 9.9, 4.2, 2.36, 6.42, 5.36, 4.06, 0.3, 0.01, 0.33, 1.87, 1, 
80, 7, ecoregion2, 2, 37385, 16.9, 26.5, 16.5, 2.6, 13.8, 45.69, 33.77, 35.86, -11.93, 0.42, 0.14, 0.67, 1.88, 1, 
80, 8, ecoregion2, 2, 37385, 10.5, 24.9, 14, 5.4, 8.6, 10.1, 13.17, 12.12, 3.08, 0.35, 0.04, 0.45, 1.88, 1, 
80, 9, ecoregion2, 2, 37385, 8.1, 21.3, 9.7, 3.2, 6.5, 11.22, 11.54, 11.13, 0.32, 0.33, 0.02, 0.39, 1.88, 1, 
80, 10, ecoregion2, 2, 37385, 8.8, 13.8, 4.4, 0, 4.4, 88.17, 61.46, 66.09, -26.71, 0.34, 0.13, 0.58, 3.17, 1, 
80, 11, ecoregion2, 2, 37385, 13.7, 11, 2.7, 0, 2.7, 82.43, 37.29, 43.8, -45.14, 0.39, 0.16, 0.97, 4.32, 0.45, 
80, 12, ecoregion2, 2, 37385, 10, 4.6, 0.6, 0, 0.6, 0.31, 23.07, 13.53, 22.76, 0.35, 0.06, 0.67, 4.29, 0.31, 
80, 1, ecoregion2, 2, 37385, 12.9, 3.2, 0.4, 0, 0.4, 0.1, 21.08, 12.33, 20.98, 0.38, 0.1, 0.8, 4.34, 0.31, 
80, 2, ecoregion2, 2, 37385, 7.9, 7.1, 1.4, 0, 1.4, 1.42, 26.76, 16.03, 25.35, 0.33, 0.21, 1.1, 4.39, 0.31, 
80, 3, ecoregion2, 2, 37385, 10.9, 11.5, 3.5, 0, 3.5, 9.41, 45.71, 33.54, 36.3, 0.36, 0.24, 0.92, 4.37, 0.7, 
80, 4, ecoregion2, 2, 37385, 8.7, 14.9, 5.7, 0, 5.7, 109.12, 65.91, 75.82, -43.21, 0.34, 0.2, 0.68, 3.54, 1, 
80, 5, ecoregion2, 2, 37385, 13.1, 20.5, 10.6, 0.3, 10.3, 100.53, 64.39, 72.27, -36.14, 0.38, 0.24, 0.73, 2.75, 1, 
80, 6, ecoregion2, 2, 37385, 4.5, 24.3, 14, 9.9, 4.2, 2.36, 6.94, 5.76, 4.58, 0.3, 0.01, 0.33, 1.87, 1, 
90, 7, ecoregion2, 2, 37385, 16.9, 26.5, 16.5, 2.6, 13.8, 46.84, 35.88, 37.8, -10.95, 0.42, 0.15, 0.67, 1.88, 1, 
90, 8, ecoregion2, 2, 37385, 10.5, 24.9, 14, 5.4, 8.6, 10.17, 13.93, 12.73, 3.77, 0.35, 0.04, 0.45, 1.88, 1, 
90, 9, ecoregion2, 2, 37385, 8.1, 21.3, 9.7, 3.2, 6.5, 11.44, 12.23, 11.72, 0.8, 0.33, 0.03, 0.39, 1.88, 1, 
90, 10, ecoregion2, 2, 37385, 8.8, 13.8, 4.4, 0, 4.4, 91.57, 65.21, 69.83, -26.36, 0.34, 0.14, 0.58, 3.17, 1, 
90, 11, ecoregion2, 2, 37385, 13.7, 11, 2.7, 0, 2.7, 86.45, 39.44, 46.25, -47.01, 0.39, 0.17, 0.97, 4.32, 0.45, 
90, 12, ecoregion2, 2, 37385, 10, 4.6, 0.6, 0, 0.6, 0.27, 24.4, 14.32, 24.12, 0.35, 0.07, 0.67, 4.29, 0.31, 
90, 1, ecoregion2, 2, 37385, 12.9, 3.2, 0.4, 0, 0.4, 0.08, 22.28, 13.06, 22.2, 0.38, 0.11, 0.8, 4.34, 0.31, 
90, 2, ecoregion2, 2, 37385, 7.9, 7.1, 1.4, 0, 1.4, 1.37, 28.29, 16.95, 26.92, 0.33, 0.22, 1.1, 4.39, 0.31, 
90, 3, ecoregion2, 2, 37385, 10.9, 11.5, 3.5, 0, 3.5, 9.26, 48.39, 35.43, 39.12, 0.36, 0.26, 0.92, 4.37, 0.7, 
90, 4, ecoregion2, 2, 37385, 8.7, 14.9, 5.7, 0, 5.7, 113.43, 69.85, 80.04, -43.58, 0.34, 0.21, 0.68, 3.54, 1, 
90, 5, ecoregion2, 2, 37385, 13.1, 20.5, 10.6, 0.3, 10.3, 103.63, 68.3, 76.15, -35.32, 0.38, 0.26, 0.73, 2.75, 1, 
90, 6, ecoregion2, 2, 37385, 4.5, 24.3, 14, 9.9, 4.2, 2.35, 7.35, 6.08, 5, 0.3, 0.01, 0.33, 1.87, 1, 
100, 7, ecoregion2, 2, 37385, 16.9, 26.5, 16.5, 2.6, 13.8, 47.94, 37.62, 39.44, -10.33, 0.42, 0.16, 0.67, 1.88, 1, 
100, 8, ecoregion2, 2, 37385, 10.5, 24.9, 14, 5.4, 8.6, 10.22, 14.56, 13.24, 4.33, 0.35, 0.04, 0.45, 1.88, 1, 
100, 9, ecoregion2, 2, 37385, 8.1, 21.3, 9.7, 3.2, 6.5, 11.61, 12.8, 12.22, 1.19, 0.33, 0.03, 0.39, 1.88, 1, 
100, 10, ecoregion2, 2, 37385, 8.8, 13.8, 4.4, 0, 4.4, 94.64, 68.27, 72.99, -26.37, 0.34, 0.15, 0.58, 3.17, 1, 
100, 11, ecoregion2, 2, 37385, 13.7, 11, 2.7, 0, 2.7, 90.03, 41.19, 48.34, -48.84, 0.39, 0.17, 0.97, 4.32, 0.45, 
100, 12, ecoregion2, 2, 37385, 10, 4.6, 0.6, 0, 0.6, 0.22, 25.47, 14.96, 25.25, 0.35, 0.07, 0.67, 4.29, 0.31, 
100, 1, ecoregion2, 2, 37385, 12.9, 3.2, 0.4, 0, 0.4, 0.06, 23.26, 13.65, 23.19, 0.38, 0.11, 0.8, 4.34, 0.31, 
100, 2, ecoregion2, 2, 37385, 7.9, 7.1, 1.4, 0, 1.4, 1.28, 29.52, 17.7, 28.24, 0.33, 0.23, 1.1, 4.39, 0.31, 
100, 3, ecoregion2, 2, 37385, 10.9, 11.5, 3.5, 0, 3.5, 9.25, 50.56, 37, 41.31, 0.36, 0.27, 0.92, 4.37, 0.7, 
100, 4, ecoregion2, 2, 37385, 8.7, 14.9, 5.7, 0, 5.7, 117.41, 73.07, 83.62, -44.34, 0.34, 0.23, 0.68, 3.54, 1, 
100, 5, ecoregion2, 2, 37385, 13.1, 20.5, 10.6, 0.3, 10.3, 106.43, 71.51, 79.43, -34.92, 0.38, 0.27, 0.73, 2.75, 1, 
100, 6, ecoregion2, 2, 37385, 4.5, 24.3, 14, 9.9, 4.2, 2.31, 7.69, 6.34, 5.38, 0.3, 0.01, 0.33, 1.87, 1, 
